сигнал,среднее_разности,стандартное_отклонение_разности,нижняя_граница_3сигма,верхняя_граница_3сигма,число_скачков,максимальная_абсолютная_разность
Bx,-0.000210840563516056,2.13095700634478,-6.39308185959786,6.39266017847083,1398,560.05716
By,-0.000205491542877176,1.63037363170823,-4.89132638666756,4.8909154035818,429,497.06904
Bz,-0.000959703452959988,2.94052380247257,-8.82253111087067,8.82061170396475,673,707.27358
|B|,0.000278883790133062,1.39345302289959,-4.18008018490865,4.18063795248891,3720,263.984854885981
