сигнал,среднее_разности,стандартное_отклонение_разности,нижняя_граница_3сигма,верхняя_граница_3сигма,число_скачков,максимальная_абсолютная_разность
Bx,0.000125409386898227,17.3029652609776,-51.9087703735459,51.9090211923197,2372,70.8006
By,0.00014790734085327,16.0291777315068,-48.0873852871794,48.0876811018611,2229,62.98812
Bz,-0.000145011564601633,24.0946007661279,-72.2839473099483,72.2836572868191,1742,98.38842
|B|,7.70627458796302e-05,19.602549576716,-58.8075716674022,58.8077257928939,3633,106.766531200883
