сигнал,среднее_разности,стандартное_отклонение_разности,нижняя_граница_3сигма,верхняя_граница_3сигма,число_скачков,максимальная_абсолютная_разность
Bx,-0.0427576610217763,55.125371669774,-165.418872670344,165.3333573483,171,5705.30766
By,0.0163075118849406,17.7402393611858,-53.2044105716726,53.2370255954425,181,3781.48446
Bz,-0.00872259672260442,59.4771029436405,-178.440031427644,178.422586234199,187,7992.89946
|B|,0.0780100937182175,77.7614398354609,-233.206309412665,233.362329600101,176,9273.27582083106
