navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 12:01:02:521,2025-04-25 12:01:02,30.297217,-54.277239,476335.625,1745582462520,2025-04-25 12:01:02,-142.8219,-59.57016,110.10714,189.921776953079,1
25-04-2025 12:01:22:521,2025-04-25 12:01:22,31.564893,-54.582968,476588.65625,1745582482520,2025-04-25 12:01:22,-153.56406,-28.56438,143.79846,212.310719057799,1
25-04-2025 12:01:42:521,2025-04-25 12:01:42,32.829905,-54.894299,476849.3125,1745582502520,2025-04-25 12:01:42,-164.06208,-46.3866,99.85326,197.582277257132,1
25-04-2025 12:02:02:521,2025-04-25 12:02:02,34.091551,-55.21151,477116.375,1745582522519,2025-04-25 12:02:02,-141.11292,-46.14246,100.58568,179.330593672247,2
25-04-2025 12:02:12:521,2025-04-25 12:02:12,34.725918,-55.373706,477252.96875,1745582532519,2025-04-25 12:02:12,-160.64412,-39.30654,136.7184,214.577394606016,2
25-04-2025 12:02:22:521,2025-04-25 12:02:22,35.35559,-55.536586,477389.9375,1745582542519,2025-04-25 12:02:22,-173.58354,-12.93942,141.6012,224.387107005523,2
25-04-2025 12:02:42:521,2025-04-25 12:02:42,36.614913,-55.868267,477667.375,1745582562519,2025-04-25 12:02:42,-179.19876,-15.62496,123.04656,217.937584845691,2
25-04-2025 12:02:52:521,2025-04-25 12:02:52,37.249649,-56.038601,477808.71875,1745582572518,2025-04-25 12:02:52,-185.79054,-32.9589,121.58172,224.469437743449,3
25-04-2025 12:03:12:521,2025-04-25 12:03:12,38.50569,-56.382331,478090.625,1745582592518,2025-04-25 12:03:12,-174.07182,1.2207,145.75158,227.037467610742,3
25-04-2025 12:03:32:521,2025-04-25 12:03:32,39.768927,-56.737582,478376.25,1745582612517,2025-04-25 12:03:32,-240.96618,-61.76742,79.83378,261.253414343884,4
25-04-2025 12:03:52:521,2025-04-25 12:03:52,41.030483,-57.102738,478662.375,1745582632517,2025-04-25 12:03:52,-223.87638,-15.62496,111.32784,250.516787573152,4
